INSTAGRAM ANALYTICS PRO REPORT
Report Title,AYTISHNIK.UZ - Weekly Analytics Report
Generated At,2026-06-23 06:32:15 UTC
Username,aytishnik.uz
Full Name,Aytishnik.Uz | Analytics Pro
Followers,14304
Following,787
Total Posts,24
Engagement Rate (%),7.68%
Total Likes,15748
Total Comments,739
Total Reach,65798
Total Impressions,92473

POST PERFORMANCE INDEX
Post ID,Type,Posted At,Likes,Comments,Reach,Impressions,Saves,Shares
media_post_1_14,IMAGE,2026-06-21T14:31:49.234600,829,74,3706,4525,80,13
media_post_1_13,VIDEO,2026-06-19T19:31:49.234567,1691,44,6128,9553,5,43
media_post_1_12,CAROUSEL,2026-06-18T04:31:49.234537,1255,74,5113,6417,78,20
media_post_1_11,VIDEO,2026-06-15T08:31:49.234510,994,42,3765,5772,17,22
media_post_1_10,CAROUSEL,2026-06-13T13:31:49.234481,1602,56,4742,6169,143,53
media_post_1_9,IMAGE,2026-06-11T22:31:49.234448,737,64,3328,4692,146,31
media_post_1_8,VIDEO,2026-06-09T18:31:49.234419,727,19,3347,4905,143,25
media_post_1_7,IMAGE,2026-06-07T07:31:49.234392,1686,34,8046,12094,92,4
media_post_1_6,IMAGE,2026-06-06T04:31:49.234363,1263,79,6197,7552,13,13
media_post_1_5,IMAGE,2026-06-04T05:31:49.234335,944,47,3933,5892,10,7
media_post_1_4,CAROUSEL,2026-06-01T10:31:49.234300,366,32,1136,1730,33,14
media_post_1_3,CAROUSEL,2026-05-31T05:31:49.234271,522,54,2238,3129,51,43
media_post_1_2,CAROUSEL,2026-05-28T17:31:49.234239,1322,30,6150,9009,44,49
media_post_1_1,VIDEO,2026-05-26T19:31:49.234199,1252,70,5701,8134,53,11
media_post_1_0,CAROUSEL,2026-05-24T08:31:49.234083,558,20,2268,2900,88,37

FOLLOWER GROWTH RECORDS (Last 30 Days)
Date,Followers Count,Gain/Loss
2026-05-25,12321,88
2026-05-26,12438,117
2026-05-27,12550,112
2026-05-28,12577,27
2026-05-29,12635,58
2026-05-30,12749,114
2026-05-31,12794,45
2026-06-01,12866,72
2026-06-02,12871,5
2026-06-03,12889,18
2026-06-04,12955,66
2026-06-05,12981,26
2026-06-06,13068,87
2026-06-07,13167,99
2026-06-08,13230,63
2026-06-09,13297,67
2026-06-10,13292,-5
2026-06-11,13394,102
2026-06-12,13485,91
2026-06-13,13586,101
2026-06-14,13647,61
2026-06-15,13753,106
2026-06-16,13873,120
2026-06-17,13930,57
2026-06-18,14011,81
2026-06-19,14105,94
2026-06-20,14121,16
2026-06-21,14217,96
2026-06-22,14246,29
2026-06-23,14304,58
